distance_bp,phat_00,phat_01,phat_10,phat_11
109,0.881711500468968,0.047685597541049,0.118288499531032,0.952314402458951
110,0.880212244939956,0.047786279843187,0.119787755060044,0.952213720156813
111,0.87871237073706,0.0478853076906506,0.12128762926294,0.95211469230935
112,0.877212433351992,0.0479829428386304,0.122787566648008,0.95201705716137
113,0.875712960147263,0.0480794339681635,0.124287039852737,0.951920566031837
114,0.874214451762262,0.0481750173419726,0.125785548237738,0.951824982658028
115,0.872717383441829,0.0482699174239783,0.127282616558171,0.951730082576022
116,0.871222206292117,0.0483643474647355,0.128777793707883,0.951635652535265
117,0.869729348468172,0.0484585100548855,0.130270651531828,0.951541489945115
118,0.868239216297395,0.0485525976485779,0.131760783702606,0.951447402351422
119,0.866752195342742,0.0486467930586791,0.133247804657258,0.951353206941321
120,0.86526514409367,0.0487356875533241,0.13473485590633,0.951264312446676
121,0.863775376191453,0.0488153667032288,0.136224623808547,0.951184633296771
122,0.862283907918719,0.0488881623953059,0.137716092081281,0.951111837604694
123,0.860791708003711,0.0489562968669325,0.139208291996289,0.951043703133067
124,0.859299699819232,0.0490218878031646,0.140700300180768,0.950978112196835
125,0.857808763469567,0.0490869531732095,0.142191236530433,0.95091304682679
126,0.856319737771749,0.0491534158210551,0.143680262228251,0.950846584178945
127,0.85483342213716,0.0492231078242036,0.14516657786284,0.950776892175796
128,0.853350578359049,0.0492977746335811,0.146649421640951,0.950702225366419
129,0.851871932311235,0.0493790790068696,0.148128067688765,0.95062092099313
130,0.850399613677672,0.0494630865309375,0.149600386322328,0.950536913469062
131,0.848934241889697,0.0495452315502544,0.151065758110303,0.950454768449745
132,0.847474302957312,0.0496261484836571,0.152525697042688,0.950373851516343
133,0.846018349143369,0.0497064438005396,0.153981650856631,0.95029355619946
134,0.844564996102071,0.0497866972289345,0.155435003897929,0.950213302771066
135,0.843112920153369,0.0498674629062298,0.156887079846631,0.95013253709377
136,0.841660855686052,0.0499492704755616,0.158339144313948,0.950050729524438
137,0.840207592682747,0.0500326261307446,0.159792407317254,0.949967373869255
138,0.838751974360441,0.0501180136124347,0.161248025639559,0.949881986387565
139,0.837292894920528,0.0502058951580612,0.162707105079472,0.949794104841939
140,0.835841107841189,0.0502949078422139,0.164158892158811,0.949705092157786
141,0.834406304151514,0.0503834953604287,0.165593695848487,0.949616504639571
142,0.83298590123151,0.0504718094508395,0.16701409876849,0.949528190549161
143,0.831577419594283,0.0505599955931282,0.168422580405718,0.949440004406872
144,0.830178478773889,0.0506481932610095,0.169821521226112,0.949351806738991
145,0.828786793394182,0.0507365361635333,0.171213206605818,0.949263463836467
146,0.827400169409737,0.0508251524757583,0.172599830590263,0.949174847524242
147,0.826016500510423,0.0509141650593183,0.173983499489577,0.949085834940682
148,0.82463376468167,0.0510036916733764,0.17536623531833,0.948996308326623
149,0.823250020912879,0.051093845176433,0.17674997908712,0.948906154823567
150,0.82186340604688,0.0511847337194295,0.17813659395312,0.94881526628057
151,0.82047213176365,0.0512764609305662,0.17952786823635,0.948723539069434
152,0.819074481691943,0.0513691260922295,0.180925518308057,0.94863087390777
153,0.817668808642769,0.0514628243104041,0.182331191357231,0.948537175689596
154,0.816253531958984,0.0515576466769234,0.183746468041016,0.948442353323076
155,0.814827134975578,0.0516536804248962,0.185172865024422,0.948346319575104
156,0.813388162585501,0.0517510090776276,0.186611837414499,0.948248990922372
157,0.811935218906152,0.0518497125913359,0.188064781093848,0.948150287408664
158,0.810466965041899,0.051949867491953,0.189533034958101,0.948050132508047
159,0.809002193657062,0.0520466479370784,0.190997806342938,0.947953352062921
160,0.807556123991567,0.0521366515041224,0.192443876008433,0.947863348495877
161,0.806122280219964,0.0522220272291168,0.193877719780036,0.947777972770883
162,0.80469442193676,0.0523048462694131,0.19530557806324,0.947695153730587
163,0.803266535777022,0.0523871046718753,0.196733464222978,0.947612895328124
164,0.801832827364755,0.052470726032874,0.198167172635245,0.947529273967126
165,0.800387713574737,0.052557564054811,0.199612286425263,0.947442435945189
166,0.798925815094163,0.0526494050036703,0.201074184905837,0.94735059499633
167,0.797441949271155,0.0527479700718744,0.202558050728845,0.947252029928126
168,0.795931123237761,0.0528549176505197,0.204068876762239,0.94714508234948
169,0.794413894853676,0.0529631807470391,0.205586105146325,0.947036819252961
170,0.792910288969199,0.0530660053601007,0.207089711030801,0.946933994639899
