sample,specie,Laminar_layer,mCG/CG,mCH/CH,Coverage(%),BroadClass,Subtype
Pool_792_AD002,Mus_musculus,Deep,0.70517,0.01905,3.02,Excitatory,mL6-2
Pool_792_AD006,Mus_musculus,Deep,0.78975,0.03476,3.8,Excitatory,mL6-2
Pool_793_AD002,Mus_musculus,Deep,0.73172,0.02267,2.6,Excitatory,mL6-2
Pool_793_AD006,Mus_musculus,Deep,0.7786,0.0242,4.79,Inhibitory,mSst-1
Pool_794_AD002,Mus_musculus,Deep,0.74588,0.02081,2.73,Inhibitory,mVip
Pool_794_AD006,Mus_musculus,Deep,0.75715,0.03191,3.19,Inhibitory,mPv
Pool_795_AD002,Mus_musculus,Deep,0.71983,0.02292,3.21,Excitatory,mL6-2
Pool_795_AD006,Mus_musculus,Deep,0.73172,0.02248,4.04,Excitatory,mL6-2
Pool_796_AD002,Mus_musculus,Deep,0.771,0.02545,3.87,Excitatory,mL6-1
Pool_796_AD006,Mus_musculus,Deep,0.72529,0.02548,5.03,Excitatory,mDL-3
Pool_797_AD002,Mus_musculus,Deep,0.71714,0.02403,4.62,Excitatory,mDL-2
Pool_797_AD006,Mus_musculus,Deep,0.77269,0.02655,5.67,Excitatory,mL6-2
Pool_798_AD002,Mus_musculus,Deep,0.72365,0.02316,3.38,Excitatory,mDL-2
Pool_798_AD006,Mus_musculus,Deep,0.76541,0.03187,4.42,Excitatory,mL6-2
Pool_799_AD002,Mus_musculus,Deep,0.73682,0.02769,3.37,Excitatory,mL6-2
Pool_799_AD006,Mus_musculus,Deep,0.76578,0.02966,6.27,Excitatory,mL6-2
Pool_79_AD006,Mus_musculus,Superficial,0.73043,0.02022,4.52,Excitatory,mL2/3
Pool_7_AD002,Mus_musculus,Superficial,0.72265,0.01772,2.09,Excitatory,mL2/3
Pool_7_AD006,Mus_musculus,Superficial,0.72296,0.02241,3.6,Excitatory,mL2/3
Pool_800_AD002,Mus_musculus,Deep,0.69559,0.01909,3.63,Excitatory,mL6-2
Pool_800_AD006,Mus_musculus,Deep,0.73886,0.02434,5.23,Excitatory,mL6-2
Pool_801_AD002,Mus_musculus,Deep,0.74621,0.02485,2.04,Excitatory,mDL-2
Pool_801_AD006,Mus_musculus,Deep,0.7392,0.02601,3.44,Excitatory,mDL-2
Pool_802_AD002,Mus_musculus,Deep,0.76884,0.03235,2.13,Excitatory,mL6-2
Pool_802_AD006,Mus_musculus,Deep,0.72091,0.02035,3.06,Excitatory,mL6-2
Pool_803_AD002,Mus_musculus,Deep,0.72607,0.02384,2.96,Excitatory,mL6-2
Pool_803_AD006,Mus_musculus,Deep,0.73598,0.02163,4.46,Excitatory,mDL-2
Pool_804_AD002,Mus_musculus,Deep,0.7055,0.01888,3.89,Excitatory,mL6-2
Pool_804_AD006,Mus_musculus,Deep,0.7352,0.02666,4.01,Excitatory,mL5-1
Pool_805_AD002,Mus_musculus,Deep,0.71421,0.02434,4.23,Excitatory,mDL-3
Pool_805_AD006,Mus_musculus,Deep,0.74093,0.02853,4.45,Excitatory,mL5-2
Pool_806_AD002,Mus_musculus,Deep,0.72165,0.02489,3.37,Excitatory,mDL-3
Pool_806_AD006,Mus_musculus,Deep,0.74232,0.02216,5.14,Excitatory,mDL-1
Pool_807_AD002,Mus_musculus,Deep,0.72553,0.0215,3.48,Excitatory,mL6-2
Pool_807_AD006,Mus_musculus,Deep,0.75424,0.0249,4.22,Excitatory,mDL-2
Pool_808_AD002,Mus_musculus,Deep,0.71572,0.02319,4.59,Excitatory,mL6-2
Pool_808_AD006,Mus_musculus,Deep,0.73583,0.02149,4.19,Excitatory,mL6-2
Pool_809_AD002,Mus_musculus,Deep,0.72975,0.02677,3.93,Inhibitory,mPv
Pool_809_AD006,Mus_musculus,Deep,0.73093,0.029,3.34,Excitatory,mDL-2
Pool_80_AD002,Mus_musculus,Superficial,0.72055,0.01823,4.75,Excitatory,mL4
Pool_80_AD006,Mus_musculus,Superficial,0.73309,0.02031,5.51,Excitatory,mL4
Pool_810_AD002,Mus_musculus,Deep,0.74703,0.03089,1.52,Excitatory,mL6-2
Pool_810_AD006,Mus_musculus,Deep,0.75724,0.03082,3.95,Excitatory,mL6-2
Pool_811_AD002,Mus_musculus,Deep,0.77805,0.03594,3.47,Excitatory,mL6-2
Pool_811_AD006,Mus_musculus,Deep,0.78349,0.03144,4.79,Excitatory,mL6-2
Pool_812_AD006,Mus_musculus,Deep,0.71306,0.018,8.3,Excitatory,mDL-1
Pool_813_AD002,Mus_musculus,Deep,0.75585,0.03003,3.86,Excitatory,mL6-2
Pool_813_AD006,Mus_musculus,Deep,0.7108,0.01835,5.61,Excitatory,mL6-2
Pool_814_AD002,Mus_musculus,Deep,0.73751,0.02427,2.92,Excitatory,mL6-2
Pool_814_AD006,Mus_musculus,Deep,0.74686,0.02794,5.09,Excitatory,mL5-1
Pool_815_AD002,Mus_musculus,Deep,0.76778,0.02487,3.81,Excitatory,mL6-1
Pool_815_AD006,Mus_musculus,Deep,0.74708,0.02588,5.47,Excitatory,mL6-2
Pool_816_AD002,Mus_musculus,Deep,0.71353,0.02118,3.62,Excitatory,mL2/3
Pool_816_AD006,Mus_musculus,Deep,0.74013,0.02646,4.93,Excitatory,mL5-2
Pool_817_AD002,Mus_musculus,Deep,0.77312,0.03162,2.64,Excitatory,mL6-2
Pool_817_AD006,Mus_musculus,Deep,0.75123,0.02321,4.76,Excitatory,mL6-2
Pool_818_AD002,Mus_musculus,Deep,0.73458,0.02509,2.2,Excitatory,mDL-2
Pool_818_AD006,Mus_musculus,Deep,0.72763,0.02097,2.64,Excitatory,mL6-2
Pool_819_AD002,Mus_musculus,Deep,0.72352,0.02634,3.49,Excitatory,mDL-2
Pool_819_AD006,Mus_musculus,Deep,0.7293,0.02274,4.87,Excitatory,mL4
Pool_81_AD006,Mus_musculus,Superficial,0.71162,0.02162,7.31,Excitatory,mL2/3
Pool_820_AD002,Mus_musculus,Deep,0.73443,0.02568,2.88,Excitatory,mL6-2
Pool_820_AD006,Mus_musculus,Deep,0.78746,0.03314,4.29,Excitatory,mL6-2
Pool_821_AD002,Mus_musculus,Deep,0.73582,0.02611,3.15,Excitatory,mL6-2
Pool_821_AD006,Mus_musculus,Deep,0.73239,0.02553,5.23,Excitatory,mDL-2
Pool_822_AD002,Mus_musculus,Deep,0.74356,0.0264,2.45,Excitatory,mL6-2
Pool_822_AD006,Mus_musculus,Deep,0.71226,0.01722,5.59,Inhibitory,mNdnf-2
Pool_823_AD002,Mus_musculus,Deep,0.74348,0.0289,3.14,Excitatory,mL5-2
Pool_823_AD006,Mus_musculus,Deep,0.75195,0.02587,5.18,Excitatory,mDL-3
Pool_824_AD002,Mus_musculus,Deep,0.70753,0.01893,3.56,Inhibitory,mNdnf-2
Pool_824_AD006,Mus_musculus,Deep,0.73342,0.02186,4.03,Excitatory,mL6-2
Pool_825_AD006,Mus_musculus,Deep,0.7336,0.01996,4.26,Excitatory,mL6-2
Pool_826_AD006,Mus_musculus,Deep,0.7227,0.02062,3.32,Excitatory,mL6-2
Pool_827_AD002,Mus_musculus,Deep,0.7466,0.03125,3.51,Excitatory,mL6-2
Pool_827_AD006,Mus_musculus,Deep,0.72973,0.0229,4.1,Excitatory,mL6-2
Pool_828_AD002,Mus_musculus,Deep,0.76389,0.03676,3.63,Inhibitory,mPv
Pool_828_AD006,Mus_musculus,Deep,0.71922,0.01999,4.7,Excitatory,mL6-2
Pool_829_AD002,Mus_musculus,Deep,0.73608,0.02826,2.8,Excitatory,mDL-1
Pool_829_AD006,Mus_musculus,Deep,0.73351,0.02193,5.89,Excitatory,mL4
Pool_82_AD002,Mus_musculus,Superficial,0.71227,0.02426,5.32,Excitatory,mL2/3
Pool_82_AD006,Mus_musculus,Superficial,0.73223,0.01936,5.6,Excitatory,mL4
Pool_830_AD002,Mus_musculus,Deep,0.749,0.03515,3.28,Excitatory,mL6-2
Pool_830_AD006,Mus_musculus,Deep,0.76458,0.02837,5.63,Excitatory,mL6-2
Pool_831_AD002,Mus_musculus,Deep,0.72618,0.02742,3.84,Excitatory,mL5-1
Pool_831_AD006,Mus_musculus,Deep,0.73583,0.02351,5.8,Excitatory,mDL-2
Pool_832_AD002,Mus_musculus,Deep,0.72028,0.02354,4.56,Excitatory,mDL-1
Pool_832_AD006,Mus_musculus,Deep,0.73343,0.02304,5.36,Excitatory,mL6-2
